Zřizovatel,Red IZO:,IČO:,Název organizace,Místo:,Ulice:,Č.p.:,Č.o.:,Městská část:,    IZO:,"Druh školy, školského zařízení:",Místo školy-zařízení:,Ulice školy-zařízení:,Č.p. školy-zařízení:,Č.o. školy-zařízení:,Městská část školy-zařízení:
5,691008931,4770731,Základní škola Hučák,Lochenice,,83,,Lochenice,    181102731,Školní klub,Hradec Králové,V Lipkách,692,,
5,691008949,4762126,Základní škola Mraveniště,Velké Svatoňovice,,113,,Markoušovice,    181076098,Základní škola,Velké Svatoňovice,,113,,Markoušovice
5,691008949,4762126,Základní škola Mraveniště,Velké Svatoňovice,,113,,Markoušovice,    181077566,Školní družina,Velké Svatoňovice,,113,,Markoušovice
5,691008949,4762126,Základní škola Mraveniště,Velké Svatoňovice,,113,,Markoušovice,    181102633,Školní jídelna,Velké Svatoňovice,,113,,Markoušovice
5,691009473,5141265,"Soukromá základní škola a mateřská škola, Úlibice, okres Jičín",Úlibice,,53,,Úlibice,    181079097,Mateřská škola,Úlibice,,53,,Úlibice
5,691009473,5141265,"Soukromá základní škola a mateřská škola, Úlibice, okres Jičín",Úlibice,,53,,Úlibice,    181085399,Základní škola,Úlibice,,53,,Úlibice
5,691009473,5141265,"Soukromá základní škola a mateřská škola, Úlibice, okres Jičín",Úlibice,,53,,Úlibice,    181087871,Školní družina,Úlibice,,53,,Úlibice
5,691009473,5141265,"Soukromá základní škola a mateřská škola, Úlibice, okres Jičín",Úlibice,,53,,Úlibice,    181079101,Školní jídelna - výdejna,Úlibice,,53,,Úlibice
5,691010196,28820606,"Soukromá mateřská škola a jesle Pastelka, s.r.o.",Jičín,Husova,110,,Valdické Předměstí,    181085712,Mateřská škola,Jičín,Ruská,54,,Pražské Předměstí
5,691010196,28820606,"Soukromá mateřská škola a jesle Pastelka, s.r.o.",Jičín,Husova,110,,Valdické Předměstí,    181085721,Školní jídelna - výdejna,Jičín,Ruská,54,,Pražské Předměstí
5,691010234,5977738,Lesní mateřská škola Na Větvi,Hradec Králové,Hlavní,210,57,Nový Hradec Králové,    181085887,Mateřská škola (lesní mateřská škola),Hradec Králové,Hlavní,210,57,Nový Hradec Králové
5,691010633,1898159,Základní škola Na Dvoře a Lesní mateřská škola Mraveneček z. ú.,Lánov,,247,,Prostřední Lánov,    181088002,Mateřská škola (lesní mateřská škola),Lánov,,247,,Prostřední Lánov
5,691010633,1898159,Základní škola Na Dvoře a Lesní mateřská škola Mraveneček z. ú.,Lánov,,247,,Prostřední Lánov,    181087103,Základní škola,Vrchlabí,Pražská,858,,Vrchlabí
5,691010668,6032958,Základní škola Křišťál,Jaroměř,Lužická,423,,,    181087138,Základní škola,Jaroměř,Lužická,423,,
5,691010668,6032958,Základní škola Křišťál,Jaroměř,Lužická,423,,,    181087910,Školní družina,Jaroměř,Lužická,423,,Pražské Předměstí
5,691012580,7238282,Středisko volného času Pro dětský úsměv z východních Čech,Hradec Králové,Vrchlického,582,18,Pražské Předměstí,    181098016,Dům dětí a mládeže,Hradec Králové,Lužická,1208,12,Hradec Králové
5,691013225,8223033,Základní škola Comenius,Hradec Králové,Zámostí,797,,,    181103982,Základní škola,Hradec Králové,Jana Masaryka,605,30,Nový Hradec Králové
5,691013225,8223033,Základní škola Comenius,Hradec Králové,Zámostí,797,,,    181107091,Školní družina,Hradec Králové,Jana Masaryka,605,30,Nový Hradec Králové
6,600001482,42887941,Církevní základní škola Borohrádek,Borohrádek,Nádražní,233,,Borohrádek,    042887941,Základní škola,Borohrádek,Nádražní,233,,Borohrádek
6,600001482,42887941,Církevní základní škola Borohrádek,Borohrádek,Nádražní,233,,Borohrádek,    110011414,Školní družina,Borohrádek,Nádražní,233,,Borohrádek
6,600012247,189391,Střední odborná škola sociální a zdravotnická - Evangelická akademie,Náchod,Kladská,335,,Náchod,    102101531,Střední škola,Náchod,Kladská,335,,Náchod
6,600024636,71197621,Základní škola speciální a praktická škola Diakonie ČCE Vrchlabí,Vrchlabí,Komenského,616,,Vrchlabí,    110011791,Základní škola,Vrchlabí,Komenského,616,,Vrchlabí
6,600024636,71197621,Základní škola speciální a praktická škola Diakonie ČCE Vrchlabí,Vrchlabí,Komenského,616,,Vrchlabí,    181045231,Střední škola,Vrchlabí,Komenského,616,,Vrchlabí
